"participant.id_in_session","condition","session_id","subsession.round_number","participant_number","item_number","answers","target","network_size","Answers_clean"
15,"random","pqesetud",6,"p122","reordered_keywords_4","antennae",1,24,"antenna"
15,"random","pqesetud",9,"p122","reordered_keywords_1","shield",1,24,"shield"
15,"random","pqesetud",9,"p122","reordered_keywords_4","antennae",1,24,"antenna"
16,"random","pqesetud",9,"p123","reordered_keywords_1","holly-leaf",0,24,"hollyleaf"
16,"random","pqesetud",9,"p123","reordered_keywords_4","antennae",1,24,"antenna"
17,"random","pqesetud",9,"p124","reordered_keywords_1","shield",1,24,"shield"
17,"random","pqesetud",9,"p124","reordered_keywords_4","antennae",1,24,"antenna"
18,"random","pqesetud",9,"p125","reordered_keywords_1","giraffe head",0,24,"giraffe"
18,"random","pqesetud",9,"p125","reordered_keywords_4","antennae",1,24,"antenna"
19,"random","pqesetud",5,"p126","reordered_keywords_1","shield",1,24,"shield"
19,"random","pqesetud",5,"p126","reordered_keywords_4","antennae",1,24,"antenna"
19,"random","pqesetud",9,"p126","reordered_keywords_1","shield",1,24,"shield"
19,"random","pqesetud",9,"p126","reordered_keywords_4","antennae",1,24,"antenna"
2,"random","jdf4sgo1",5,"p13","reordered_keywords_1","dragon",0,12,"dragon"
2,"random","jdf4sgo1",5,"p13","reordered_keywords_2","angel",1,12,"angel"
2,"random","jdf4sgo1",5,"p13","reordered_keywords_3","flag",1,12,"flag"
2,"random","jdf4sgo1",5,"p13","reordered_keywords_4","bug",0,12,"bug"
2,"random","jdf4sgo1",5,"p13","reordered_keywords_5","apron",1,12,"apron"
2,"random","jdf4sgo1",10,"p13","reordered_keywords_1","dragon",0,12,"dragon"
2,"random","jdf4sgo1",10,"p13","reordered_keywords_2","angel",1,12,"angel"
2,"random","jdf4sgo1",10,"p13","reordered_keywords_3","flag",1,12,"flag"
2,"random","jdf4sgo1",10,"p13","reordered_keywords_4","swan",0,12,"swan"
2,"random","jdf4sgo1",10,"p13","reordered_keywords_5","apron",1,12,"apron"
2,"random","ot0ui8sk",5,"p14","reordered_keywords_1","shield",1,12,"shield"
2,"random","ot0ui8sk",5,"p14","reordered_keywords_4","antennae",1,12,"antenna"
2,"random","ot0ui8sk",5,"p14","reordered_keywords_5","apron",1,12,"apron"
2,"random","ot0ui8sk",10,"p14","reordered_keywords_1","shield",1,12,"shield"
2,"random","ot0ui8sk",10,"p14","reordered_keywords_2","horse",0,12,"horse"
2,"random","ot0ui8sk",10,"p14","reordered_keywords_3","knife",0,12,"knife"
2,"random","ot0ui8sk",10,"p14","reordered_keywords_4","anchor",0,12,"anchor"
2,"random","ot0ui8sk",10,"p14","reordered_keywords_5","apron",1,12,"apron"
2,"random","sdth5ohy",5,"p15","reordered_keywords_1","tree",0,12,"tree"
2,"random","sdth5ohy",5,"p15","reordered_keywords_2","curve",0,12,"curve"
2,"random","sdth5ohy",5,"p15","reordered_keywords_3","flag",1,12,"flag"
2,"random","sdth5ohy",5,"p15","reordered_keywords_4","antennae",1,12,"antenna"
2,"random","sdth5ohy",5,"p15","reordered_keywords_5","apron",1,12,"apron"
2,"random","sdth5ohy",10,"p15","reordered_keywords_1","shield",1,12,"shield"
2,"random","sdth5ohy",10,"p15","reordered_keywords_2","angel",1,12,"angel"
2,"random","sdth5ohy",10,"p15","reordered_keywords_3","flag",1,12,"flag"
2,"random","sdth5ohy",10,"p15","reordered_keywords_4","antennae",1,12,"antenna"
2,"random","sdth5ohy",10,"p15","reordered_keywords_5","apron",1,12,"apron"
2,"ws","slpk75c0",5,"p16","reordered_keywords_1","shield",1,12,"shield"
2,"ws","slpk75c0",5,"p16","reordered_keywords_2","head",0,12,"head"
2,"ws","slpk75c0",5,"p16","reordered_keywords_3","scythe",0,12,"scythe"
2,"ws","slpk75c0",5,"p16","reordered_keywords_4","bug",0,12,"bug"
2,"ws","slpk75c0",5,"p16","reordered_keywords_5","timer",0,12,"timer"
2,"ws","slpk75c0",10,"p16","reordered_keywords_1","shield",1,12,"shield"
2,"ws","slpk75c0",10,"p16","reordered_keywords_2","clip",0,12,"clip"
2,"ws","slpk75c0",10,"p16","reordered_keywords_3","beak",0,12,"beak"
2,"ws","slpk75c0",10,"p16","reordered_keywords_4","antennae",1,12,"antenna"
2,"ws","slpk75c0",10,"p16","reordered_keywords_5","apron",1,12,"apron"
3,"random","48b9jmgp",5,"p17","reordered_keywords_1","giraffe",0,12,"giraffe"
3,"random","48b9jmgp",5,"p17","reordered_keywords_2","elephant",0,12,"elephant"
3,"random","48b9jmgp",5,"p17","reordered_keywords_3","scythe",0,12,"scythe"
3,"random","48b9jmgp",5,"p17","reordered_keywords_4","worms",0,12,"worm"
3,"random","48b9jmgp",5,"p17","reordered_keywords_5","triangles",0,12,"triangle"
3,"random","48b9jmgp",10,"p17","reordered_keywords_1","giraffe",0,12,"giraffe"
