participant.id_in_session,subsession.round_number,session.code,participant_number,network_size,condition,confederate,item_number,answers,target
10,5,15z4rjci,p155,24,ws,seperated,reordered_keywords_1,shield,1
10,5,15z4rjci,p155,24,ws,seperated,reordered_keywords_4,antennae,1
10,9,15z4rjci,p155,24,ws,seperated,reordered_keywords_1,shield,1
10,9,15z4rjci,p155,24,ws,seperated,reordered_keywords_4,antennae,1
11,6,15z4rjci,p156,24,ws,seperated,reordered_keywords_1,antennae,0
11,6,15z4rjci,p156,24,ws,seperated,reordered_keywords_4,dragon head,0
11,9,15z4rjci,p156,24,ws,seperated,reordered_keywords_1,dragon head,0
11,9,15z4rjci,p156,24,ws,seperated,reordered_keywords_4,antennae,1
13,9,15z4rjci,p157,24,ws,seperated,reordered_keywords_1,deer,0
13,9,15z4rjci,p157,24,ws,seperated,reordered_keywords_4,dragon,0
14,9,15z4rjci,p158,24,ws,seperated,reordered_keywords_1,mace,0
14,9,15z4rjci,p158,24,ws,seperated,reordered_keywords_4,snail,0
15,6,15z4rjci,p159,24,ws,seperated,reordered_keywords_1,shield,1
15,6,15z4rjci,p159,24,ws,seperated,reordered_keywords_4,antennae,1
15,7,15z4rjci,p159,24,ws,seperated,reordered_keywords_1,shield,1
15,7,15z4rjci,p159,24,ws,seperated,reordered_keywords_4,antennae,1
15,9,15z4rjci,p159,24,ws,seperated,reordered_keywords_1,shield,1
15,9,15z4rjci,p159,24,ws,seperated,reordered_keywords_4,snail bud,0
16,6,15z4rjci,p160,24,ws,seperated,reordered_keywords_1,deer,0
16,6,15z4rjci,p160,24,ws,seperated,reordered_keywords_4,antennae,1
16,9,15z4rjci,p160,24,ws,seperated,reordered_keywords_1,deer,0
16,9,15z4rjci,p160,24,ws,seperated,reordered_keywords_4,antennae,1
17,5,15z4rjci,p161,24,ws,seperated,reordered_keywords_1,shield,1
17,5,15z4rjci,p161,24,ws,seperated,reordered_keywords_4,antennae,1
17,6,15z4rjci,p161,24,ws,seperated,reordered_keywords_1,shield,1
17,6,15z4rjci,p161,24,ws,seperated,reordered_keywords_4,antennae,1
17,7,15z4rjci,p161,24,ws,seperated,reordered_keywords_1,shield,1
17,7,15z4rjci,p161,24,ws,seperated,reordered_keywords_4,antennae,1
17,9,15z4rjci,p161,24,ws,seperated,reordered_keywords_1,shield,1
17,9,15z4rjci,p161,24,ws,seperated,reordered_keywords_4,antennae,1
18,9,15z4rjci,p162,24,ws,seperated,reordered_keywords_1,deer,0
18,9,15z4rjci,p162,24,ws,seperated,reordered_keywords_4,antennae,1
19,9,15z4rjci,p163,24,ws,seperated,reordered_keywords_1,shield,1
19,9,15z4rjci,p163,24,ws,seperated,reordered_keywords_4,antennae,1
